iter	Passed	Remaining
0	57	57546
1	57	28872
2	58	19301
3	58	14523
4	58	11650
5	58	9741
6	59	8387
7	59	7366
8	59	6567
9	59	5931
10	60	5408
11	60	4970
12	60	4598
13	60	4280
14	60	4005
15	61	3764
16	61	3551
17	61	3368
18	61	3199
19	62	3046
20	62	2908
21	62	2783
22	62	2667
23	63	2562
24	63	2465
25	63	2377
26	63	2296
27	63	2220
28	64	2149
29	64	2082
30	64	2019
31	64	1960
32	65	1905
33	65	1852
34	65	1803
35	65	1758
36	65	1714
37	66	1673
38	66	1633
39	66	1597
40	66	1561
41	66	1527
42	67	1494
43	67	1463
44	67	1433
45	67	1405
46	67	1377
47	68	1352
48	68	1327
49	68	1304
50	68	1282
51	69	1260
52	69	1239
53	69	1218
54	69	1198
55	69	1179
56	70	1160
57	70	1143
58	70	1125
59	70	1108
60	70	1092
61	71	1078
62	71	1064
63	71	1050
64	72	1037
65	72	1023
66	72	1010
67	72	997
68	72	984
69	73	972
70	73	960
71	73	948
72	73	937
73	74	927
74	74	916
75	74	906
76	74	896
77	74	885
78	75	875
79	75	866
80	75	856
81	75	847
82	75	837
83	76	828
84	76	820
85	76	812
86	76	804
87	76	796
88	77	788
89	77	781
90	77	773
91	77	766
92	77	759
93	78	752
94	78	745
95	78	739
96	78	732
97	78	726
98	79	719
99	79	718
100	80	713
101	80	707
102	80	701
103	80	696
104	81	690
105	81	685
106	81	679
107	81	675
108	81	670
109	82	664
110	82	659
111	82	654
112	82	649
113	82	644
114	83	639
115	83	634
116	83	629
117	83	625
118	83	620
119	84	616
120	84	611
121	84	607
122	84	602
123	84	598
124	84	594
125	85	590
126	85	586
127	85	582
128	85	578
129	85	574
130	86	571
131	86	568
132	86	564
133	86	561
134	87	557
135	87	554
136	87	551
137	87	547
138	87	544
139	88	541
140	88	538
141	88	534
142	88	530
143	88	527
144	89	525
145	89	522
146	89	519
147	89	516
148	89	513
149	90	510
150	90	508
151	90	505
152	90	502
153	90	499
154	91	496
155	91	494
156	91	491
157	91	489
158	91	486
159	92	484
160	92	480
161	92	478
162	92	475
163	92	473
164	93	471
165	93	468
166	93	466
167	93	464
168	93	461
169	94	459
170	94	457
171	94	455
172	94	452
173	94	450
174	95	448
175	95	446
176	95	444
177	95	442
178	95	440
179	96	438
180	96	436
181	96	433
